Preliminary Risk Category,Neighborhood,Address,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,lattitude,longitude
Medium Risk,Pioneer Square/Chinatown International District,209 1st Ave S,1900,3,Permitted Retrofit,Commercial/Office,11-100,Google Street View,34.8972813,-117.0274796
Medium Risk,Pioneer Square/Chinatown International District,210 3rd Ave S,1904,5,Permitted Retrofit,Commercial/Residential,11-100,Field Visit,47.6005043,-122.3300224
Medium Risk,Pioneer Square/Chinatown International District,211 1st Ave S,1900,3,Permitted Retrofit,Commercial/Residential,11-100,Field Visit,47.60041,-122.334547
Medium Risk,Pioneer Square/Chinatown International District,211 S Washington St,1936,2,Visible retrofit,Office,11-100,Google Street View,38.5885171,-75.2940577
High Risk,Pioneer Square/Chinatown International District,212 Alaskan Way S,1914,5,Substantial Alteration,Residential,101+,Field Visit,36.778261,-119.4179324
Medium Risk,Pioneer Square/Chinatown International District,213 1st Ave S,1900,3,Visible retrofit,Commercial/Residential,11-100,Field Visit,47.6003461,-122.334614
Medium Risk,Pioneer Square/Chinatown International District,213 S Main St,1900,1,No visible retrofit,Vacant,11-100,Field Visit,34.0512112,-118.2463628
High Risk,Pioneer Square/Chinatown International District,216 1st Ave S,1900,4,Visible retrofit,Commercial/Office,101+,Field Visit,47.6003532,-122.3338446
High Risk,Pioneer Square/Chinatown International District,217 2nd Ave S,1900,4,Visible retrofit,Commercial/Residential,11-100,Field Visit,34.0921364,-117.6488795
High Risk,Pioneer Square/Chinatown International District,219 1st Ave S,1900,4,Visible retrofit,Commercial/Office,11-100,Field Visit,47.6002141,-122.3345573
Medium Risk,Pioneer Square/Chinatown International District,219 S Washington St,1900,3,Substantial Alteration,Commercial/Residential,11-100,Google Street View,38.7697573,-76.0769225
High Risk,Pioneer Square/Chinatown International District,220 2nd Ave S,1900,5,Substantial Alteration,Commercial/Office,11-100,Field Visit,34.8969068,-117.0263917
High Risk,Pioneer Square/Chinatown International District,220 3rd Ave S,1905,2,Substantial Alteration,Public Assembly,101+,Sandborn Insurance Maps,34.137116,-118.023314
High Risk,Pioneer Square/Chinatown International District,222 2nd Av Et S,1906,4,Permitted Retrofit,Commercial/Office,11-100,Field Visit,36.778261,-119.4179324
Medium Risk,Pioneer Square/Chinatown International District,301 1st Ave S,1900,3,Permitted Retrofit,Other Mixed Uses,101+,Field Visit,37.9822078,-122.074379
Medium Risk,Pioneer Square/Chinatown International District,301 Occidental Ave S,1902,4,Permitted Retrofit,Commercial/Office,101+,Permit Drawing Review,34.0676753,-118.2820699
Medium Risk,Pioneer Square/Chinatown International District,303 12th Ave S,1920,1,No visible retrofit,Commercial,11-100,Google Street View,47.5997092,-122.3174451
Medium Risk,Pioneer Square/Chinatown International District,304 Alaskan Way S,1900,3,No visible retrofit,Commercial,11-100,Field Visit,47.5997917,-122.335289
Medium Risk,Pioneer Square/Chinatown International District,306 6th Ave S,1914,7,Permitted Retrofit,Other Mixed Uses,101+,Google Street View,36.778261,-119.4179324
High Risk,Pioneer Square/Chinatown International District,307 3rd Ave S,1906,5,Permitted Retrofit,Commercial/Office,101+,Field Visit,36.778261,-119.4179324
High Risk,Pioneer Square/Chinatown International District,308 Occidental Ave S,1908,5,Permitted Retrofit,Commercial/Office,101+,Field Visit,34.0672212,-118.2819653
High Risk,Pioneer Square/Chinatown International District,310 1st Ave S,1900,4,Permitted Retrofit,Commercial/Office,101+,Field Visit,37.9825999,-122.0750781
Medium Risk,Pioneer Square/Chinatown International District,311 1st Ave S,1900,3,Visible retrofit,Commercial/Office,11-100,Field Visit,37.982227,-122.0751114
Medium Risk,Pioneer Square/Chinatown International District,311 6th Ave S,1926,2,No visible retrofit,Commercial/Residential,101+,Google Street View,41.8085639,-87.8675961
Medium Risk,Pioneer Square/Chinatown International District,311 Occidental Ave S,1900,3,No visible retrofit,Commercial/Office,101+,Field Visit,47.5995081,-122.3330715
Medium Risk,Pioneer Square/Chinatown International District,312 1st Ave S,1900,3,Permitted Retrofit,Commercial/Office,11-100,Google Street View,37.982683,-122.075278
Medium Risk,Pioneer Square/Chinatown International District,312 2nd Ave S,1900,3,Substantial Alteration,Other Mixed Uses,101+,Field Visit,37.981523,-122.072807
High Risk,Pioneer Square/Chinatown International District,313 1st Ave S,1900,4,Visible retrofit,Commercial/Office,11-100,Field Visit,34.0903345,-117.6499245
High Risk,Pioneer Square/Chinatown International District,313 2nd Av Et S,1905,4,Substantial Alteration,Office,101+,Permit Drawing Review,36.778261,-119.4179324
Medium Risk,Pioneer Square/Chinatown International District,315 2nd Ave S,1900,3,Substantial Alteration,Commercial/Office,101+,Field Visit,47.5995625,-122.3319202
High Risk,Pioneer Square/Chinatown International District,315 3rd Ave S,1902,4,No visible retrofit,Commercial,101+,Google Street View,33.770817,-118.195435
Medium Risk,Pioneer Square/Chinatown International District,315 Maynard Ave S,1910,4,No visible retrofit,Residential,101+,Google Street View,47.5995221,-122.3254131
High Risk,Pioneer Square/Chinatown International District,316 1st Ave S,1905,7,Visible retrofit,Other Mixed Uses,101+,Field Visit,37.9825488,-122.0756441
High Risk,Pioneer Square/Chinatown International District,316 Occidental Ave S,1900,5,Permitted Retrofit,Commercial/Office,101+,Field Visit,47.5996312,-122.3328873
High Risk,Pioneer Square/Chinatown International District,318 2nd Av Et S,1904,6,Permitted Retrofit,Residential,101+,Google Street View,40.7350232,-73.9826471
High Risk,Pioneer Square/Chinatown International District,319 2nd Ave S,1889,3,Permitted Retrofit,Public Assembly,101+,Google Street View,34.1360587,-118.0253559
Medium Risk,Pioneer Square/Chinatown International District,320 2nd Ave S,1900,1,Visible retrofit,Commercial,11-100,Field Visit,37.981497,-122.073048
Medium Risk,Pioneer Square/Chinatown International District,322 1st Ave S,1900,3,No visible retrofit,Commercial/Office,11-100,Field Visit,37.982677,-122.076107
Medium Risk,Pioneer Square/Chinatown International District,400 2nd Av Et S,1900,3,Permitted Retrofit,Commercial/Residential,11-100,Field Visit,36.778261,-119.4179324
Medium Risk,Pioneer Square/Chinatown International District,400 Maynard Ave S,1916,3,Visible retrofit,Commercial/Residential,101+,Field Visit,47.5970845,-122.3250649
Medium Risk,Pioneer Square/Chinatown International District,410 8th Ave S,1901,3,No visible retrofit,Commercial/Residential,11-100,Field Visit,37.4710339,-122.2014093
Medium Risk,Pioneer Square/Chinatown International District,411 2nd Av Et S,1900,1,No visible retrofit,Commercial,11-100,Field Visit,36.778261,-119.4179324
Medium Risk,Pioneer Square/Chinatown International District,413 7th Ave S,1915,1,Visible retrofit,Commercial,11-100,Field Visit,34.0462511,-118.2547429
Medium Risk,Pioneer Square/Chinatown International District,416 7th Ave S,1920,4,No visible retrofit,Commercial/Residential,101+,Field Visit,34.062254,-118.275443
Medium Risk,Pioneer Square/Chinatown International District,418 7th Ave S,1916,4,Permitted Retrofit,Commercial/Residential,101+,Field Visit,36.778261,-119.4179324
Medium Risk,Pioneer Square/Chinatown International District,418 8th Ave S,1910,5,Visible retrofit,Commercial/Residential,101+,Field Visit,37.471299,-122.2012763
Medium Risk,Pioneer Square/Chinatown International District,500 S King St,1926,1,No visible retrofit,Commercial,11-100,Google Street View,33.7415815,-117.9052405
Medium Risk,Pioneer Square/Chinatown International District,501 S Jackson St,1900,3,Permitted Retrofit,Commercial/Office,101+,Google Street View,47.5992237,-122.3115777
Medium Risk,Pioneer Square/Chinatown International District,506 Maynard Ave S,1909,4,Visible retrofit,Commercial/Residential,101+,Field Visit,47.5980699,-122.3247823
Medium Risk,Pioneer Square/Chinatown International District,507 12th Ave S,1931,1,No visible retrofit,Industrial,10-Jan,Google Street View,36.778261,-119.4179324
Medium Risk,Pioneer Square/Chinatown International District,507 Maynard Ave S,1927,5,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review,47.598013,-122.325439
Medium Risk,Pioneer Square/Chinatown International District,512 Maynard Ave S,1904,1,No visible retrofit,Commercial,101+,Google Street View,47.597968,-122.32479
Medium Risk,Pioneer Square/Chinatown International District,516 7th Ave S,1924,1,No visible retrofit,Commercial,11-100,Google Street View,37.7786577,-122.4649574
Medium Risk,Pioneer Square/Chinatown International District,519 7th Ave S,1907,3,Visible retrofit,Commercial/Residential,11-100,Photos from Previous Surveys,33.6035294,-78.9823996
Critical Risk,Pioneer Square/Chinatown International District,522 7th Ave S,1929,2,No visible retrofit,Schools,101+,Google Street View,36.778261,-119.4179324
Medium Risk,Pioneer Square/Chinatown International District,600 S Jackson St,1932,2,No visible retrofit,Commercial/Office,101+,Google Street View,33.7393329,-117.9161583
Medium Risk,Pioneer Square/Chinatown International District,605 S Main St,1910,5,No visible retrofit,Commercial/Residential,101+,Google Street View,39.0373099,-122.9155176
Medium Risk,Pioneer Square/Chinatown International District,614 Maynard Ave S,1913,3,No visible retrofit,Commercial/Office,101+,Field Visit,47.5970256,-122.3245751
Medium Risk,Pioneer Square/Chinatown International District,614 S Jackson St,1910,3,Visible retrofit,Commercial/Residential,101+,Google Street View,47.5993527,-122.3255978
Medium Risk,Pioneer Square/Chinatown International District,621 S King St,1910,6,Permitted Retrofit,Commercial/Residential,101+,Google Street View,47.5982398,-122.3253668
Medium Risk,Pioneer Square/Chinatown International District,633 Yesler Way,1909,4,No visible retrofit,Office,101+,Photos from Previous Surveys,47.6010609,-122.3254203
Medium Risk,Pioneer Square/Chinatown International District,650 S Jackson St,1917,2,No visible retrofit,Commercial,11-100,Field Visit,34.1444843,-118.250102
Medium Risk,Pioneer Square/Chinatown International District,650 S King St,1920,4,Permitted Retrofit,Commercial/Residential,101+,Field Visit,21.3041923,-157.8547896
Medium Risk,Pioneer Square/Chinatown International District,657 S King St,1909,4,Permitted Retrofit,Commercial/Residential,101+,Field Visit,37.7702523,-122.4019637
Medium Risk,Pioneer Square/Chinatown International District,657 S Weller St,1909,3,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review,47.5972612,-122.3244103
Medium Risk,Pioneer Square/Chinatown International District,664 S King St,1911,5,Substantial Alteration,Commercial/Residential,101+,Google Street View,36.778261,-119.4179324
Medium Risk,Pioneer Square/Chinatown International District,665 S King St,1909,3,Substantial Alteration,Commercial/Residential,101+,Field Visit,37.7702499,-122.4019668
Medium Risk,Pioneer Square/Chinatown International District,667 S Jackson St,1915,2,No visible retrofit,Commercial,11-100,Field Visit,37.7959888,-122.4062978
Medium Risk,Pioneer Square/Chinatown International District,670 S Weller St,1908,3,No visible retrofit,Commercial,101+,Google Street View,47.597685,-122.3241332
Medium Risk,Pioneer Square/Chinatown International District,68 S Washington St,1900,3,Permitted Retrofit,Commercial/Residential,11-100,Field Visit,37.9844432,-120.3829223
Medium Risk,Pioneer Square/Chinatown International District,700 S Dearborn St,1929,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,47.5959752,-122.3234665
Medium Risk,Pioneer Square/Chinatown International District,701 S Jackson St,1910,1,No visible retrofit,Commercial,10-Jan,Field Visit,39.6827835,-104.9430142
Medium Risk,Pioneer Square/Chinatown International District,705 S King St,1910,4,Permitted Retrofit,Commercial/Residential,101+,Google Street View,21.3030451,-157.8541375
Medium Risk,Pioneer Square/Chinatown International District,723 S King St,1910,4,Substantial Alteration,Commercial,101+,Google Street View,36.778261,-119.4179324
High Risk,Pioneer Square/Chinatown International District,75 S Main St,1900,4,Permitted Retrofit,Commercial/Residential,11-100,Field Visit,40.1343993,-120.95643
Medium Risk,Pioneer Square/Chinatown International District,76 S Main St,1907,3,Permitted Retrofit,Commercial/Office,11-100,Field Visit,41.0834275,-81.5185695
High Risk,Pioneer Square/Chinatown International District,77 S Washington St,1903,5,Visible retrofit,Other Mixed Uses,101+,Field Visit,47.6006697,-122.3352848
High Risk,Pioneer Square/Chinatown International District,77 Yesler Way,1914,4,Permitted Retrofit,Commercial/Residential,101+,Field Visit,47.6015584,-122.3353002
High Risk,Pioneer Square/Chinatown International District,80 S Jackson St,1900,5,Visible retrofit,Commercial/Residential,101+,Google Street View,33.743922,-117.9877442
Medium Risk,Pioneer Square/Chinatown International District,81 S Washington St,1900,3,No visible retrofit,Commercial/Office,101+,Google Street View,37.9844021,-120.3824382
Medium Risk,Pioneer Square/Chinatown International District,925 S King St,1924,2,No visible retrofit,Commercial,101+,Google Street View,21.3019327,-157.8499371
Medium Risk,Pioneer Square/Chinatown International District,95 Yesler Way,1900,3,No visible retrofit,Commercial/Office,11-100,Field Visit,47.6015951,-122.3346755
Medium Risk,Queen Anne,100 W Highland Dr,1921,4,No visible retrofit,Residential,101+,Google Street View,47.6299929,-122.3581563
High Risk,Queen Anne,100 W Roy St,1912,3,Visible retrofit,Public Assembly,101+,Permit Drawing Review,47.6259341,-122.3582123
Critical Risk,Queen Anne,101 W Lee St,1922,3,Permitted Retrofit,Schools,101+,Google Street View,47.6311129,-122.3582591
Medium Risk,Queen Anne,232 1st Ave N,1923,1,Permitted Retrofit,Commercial,11-100,Google Street View,36.778261,-119.4179324
Medium Risk,Queen Anne,107 1st Ave N,1908,4,No visible retrofit,Residential,101+,Photos from Previous Surveys,47.6188577,-122.3556051
Medium Risk,Queen Anne,109 John St,1922,5,No visible retrofit,Residential,11-100,Google Street View,36.6707557,-121.6517105
Medium Risk,Queen Anne,115 W Olympic Pl,1909,4,Visible retrofit,Residential,101+,Google Street View,34.0407005,-118.2566334
Medium Risk,Queen Anne,117 John St,1907,2,No visible retrofit,Residential,11-100,Photos from Previous Surveys,36.6705776,-121.6512827
Medium Risk,Queen Anne,119 W Roy St,1924,4,No visible retrofit,Residential,101+,Google Street View,47.6255829,-122.3589993
Medium Risk,Queen Anne,123 John St,1907,2,No visible retrofit,Residential,11-100,Google Street View,34.0572151,-118.2537401
Medium Risk,Queen Anne,124 Warren Ave N,1930,4,No visible retrofit,Residential,11-100,Google Street View,47.6194125,-122.3537821
Medium Risk,Queen Anne,125 Warren Ave N,1907,4,No visible retrofit,Residential,11-100,Google Street View,47.6193981,-122.3544124
High Risk,Queen Anne,129 1st Ave N,1926,1,Permitted Retrofit,Public Assembly,101+,Photos from Previous Surveys,27.7722684,-82.6344868
Medium Risk,Queen Anne,1305 Queen Anne Ave N,1928,3,Permitted Retrofit,Residential,11-100,Google Street View,47.6305979,-122.3568834
High Risk,Queen Anne,1309 Dexter Ave N,1927,4,No visible retrofit,Commercial/Residential,11-100,Google Street View,47.6308652,-122.3425281
Medium Risk,Queen Anne,14 Boston St,1922,1,No visible retrofit,Commercial,10-Jan,Google Street View,34.181846,-118.127331
Medium Risk,Queen Anne,1401 5th Ave W,1895,4,Permitted Retrofit,Residential,11-100,Permit Drawing Review,47.6318067,-122.3639144
High Risk,Queen Anne,1428 Queen Anne Ave N,1930,4,No visible retrofit,Commercial/Residential,101+,Google Street View,47.6321868,-122.3564178
Medium Risk,Queen Anne,15 Nickerson St,1919,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,47.6493282,-122.3570149
Medium Risk,Queen Anne,1506 Queen Anne Ave N,1924,1,No visible retrofit,Commercial,10-Jan,Google Street View,47.632683,-122.3566961
Medium Risk,Queen Anne,1530 Queen Anne Ave N,1920,3,No visible retrofit,Commercial,101+,Google Street View,47.633247,-122.356595
Medium Risk,Queen Anne,1530 Westlake Ave N,1923,2,Visible retrofit,Other Mixed Uses,11-100,Google Street View,47.6332277,-122.340065
High Risk,Queen Anne,1608 4th Ave W,1905,2,No visible retrofit,Public Assembly,101+,Field Visit,47.633987,-122.3620374
Medium Risk,Queen Anne,1735 Westlake Ave N,1934,2,No visible retrofit,Commercial/Office,11-100,Google Street View,47.6346729,-122.3406701
Medium Risk,Queen Anne,1820 Queen Anne Ave N,1927,2,Permitted Retrofit,Commercial,101+,Google Street View,47.635348,-122.356571
Medium Risk,Queen Anne,1821 10th Ave W,1929,1,Visible retrofit,Office,11-100,Google Street View-Rosettes,36.778261,-119.4179324
Medium Risk,Queen Anne,1829 10th Ave W,1928,1,No visible retrofit,Office,11-100,Google Street View,34.131224,-118.0136454
Medium Risk,Queen Anne,201 Galer St,1908,4,Permitted Retrofit,Residential,101+,Permit Drawing Review,47.6319579,-122.3520295
Medium Risk,Queen Anne,209 W Olympic Pl,1925,4,No visible retrofit,Residential,11-100,Google Street View,34.0410295,-118.2575566
High Risk,Queen Anne,2125 Queen Anne Ave N,1929,1,No visible retrofit,Public Assembly,101+,Sandborn Insurance Maps,47.6379381,-122.3573138
Medium Risk,Queen Anne,2128 Queen Anne Ave N,1933,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,47.6382644,-122.3567966
Medium Risk,Queen Anne,2129 Queen Anne Ave N,1910,1,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps,47.6380685,-122.3570943
Medium Risk,Queen Anne,2135 Queen Anne Ave N,1947,1,No visible retrofit,Commercial,11-100,Google Street View,47.6382512,-122.3571676
Medium Risk,Queen Anne,2201 Queen Anne Ave N,1911,1,No visible retrofit,Commercial,11-100,Field Visit,47.6385502,-122.3572049
Medium Risk,Queen Anne,2205 Queen Anne Ave N,1928,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,47.638656,-122.357113
Medium Risk,Queen Anne,2215 Queen Anne Ave N,1922,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,47.638959,-122.3573218
High Risk,Queen Anne,25 W Highland Dr,1926,5,No visible retrofit,Residential,11-100,Google Street View,47.6293298,-122.3576446
Medium Risk,Queen Anne,25 W Roy St,1914,5,No visible retrofit,Residential,101+,Google Street View,47.6255612,-122.3577102
Medium Risk,Queen Anne,2553 Westlake Ave N,1925,1,No visible retrofit,Industrial,10-Jan,Google Street View,47.6435327,-122.3446743
High Risk,Queen Anne,2555 8th Ave W,1926,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review,47.6423097,-122.367963
Medium Risk,Queen Anne,2555 Westlake Ave N,1926,2,Substantial Alteration,Other Mixed Uses,11-100,Google Street View,47.6436428,-122.3447926
Critical Risk,Queen Anne,2919 1st Ave W,1914,1,Substantial Alteration,Schools,101+,Permit Drawing Review,47.646241,-122.3589301
Critical Risk,Queen Anne,3 W Cremora St,1925,1,Permitted Retrofit,Schools,11-100,Permit Drawing Review,34.1772032,-118.7790544
Medium Risk,Queen Anne,303 Nickerson St,1920,1,No visible retrofit,Office,10-Jan,Sandborn Insurance Maps,47.6465781,-122.3511432
Medium Risk,Queen Anne,307 Nickerson St,1922,2,No visible retrofit,Commercial,11-100,Sandborn Insurance Maps,47.6464968,-122.3510954
Medium Risk,Queen Anne,312 W Republican St,1928,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,47.6235135,-122.3611553
Medium Risk,Queen Anne,319 Nickerson St,1918,1,Visible retrofit,Commercial,11-100,Field Visit,47.6463414,-122.3508908
Critical Risk,Queen Anne,3307 3rd Ave W,1891,4,Substantial Alteration,Schools,101+,Google Street View,47.6495805,-122.3615366
Critical Risk,Queen Anne,3307 3rd Ave W,1940,2,No visible retrofit,Schools,101+,Google Street View,47.6495805,-122.3615366
Medium Risk,Queen Anne,401 Queen Anne Ave N,1919,1,No visible retrofit,Office,11-100,Permit Drawing Review,47.622445,-122.357105
Medium Risk,Queen Anne,405 Prospect St,1930,4,Permitted Retrofit,Residential,11-100,Google Street View,36.9247714,-121.7564746
Medium Risk,Queen Anne,421 W Roy St,1930,5,No visible retrofit,Residential,11-100,Google Street View,47.6256142,-122.3629726
Medium Risk,Queen Anne,1529 4th Ave W,1921,3,No visible retrofit,Industrial,11-100,Google Street View,47.6333309,-122.3628853
Medium Risk,Queen Anne,406 W Garfield St,1913,2,Visible retrofit,Government,11-100,Google Street View,34.135146,-118.2610833
High Risk,Queen Anne,509 Queen Anne Ave N,1926,2,No visible retrofit,Public Assembly,101+,Google Street View,47.623531,-122.357096
Medium Risk,Queen Anne,513 Queen Anne Ave N,1926,1,No visible retrofit,Commercial,11-100,Field Visit,47.6237405,-122.3571187
Medium Risk,Queen Anne,522 Queen Anne Ave N,1930,1,Visible retrofit,Commercial,11-100,Photos from Previous Surveys,47.6239925,-122.3564183
Medium Risk,Queen Anne,526 Queen Anne Ave N,1923,1,No visible retrofit,Commercial,11-100,Field Visit,47.6240982,-122.356438
Medium Risk,Queen Anne,530 Queen Anne Ave N,1929,1,Substantial Alteration,Commercial,11-100,Photos from Previous Surveys,47.6242993,-122.3565301
Medium Risk,Queen Anne,600 Queen Anne Ave N,1918,3,No visible retrofit,Commercial/Residential,101+,Google Street View,47.625024,-122.3564419
High Risk,Queen Anne,601 Queen Anne Ave N,1925,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review,47.6247844,-122.3569217
High Risk,Queen Anne,602 Valley St,1928,2,No visible retrofit,Public Assembly,101+,Google Street View,34.1400424,-117.9920604
Medium Risk,Queen Anne,621 W Galer St,1917,4,No visible retrofit,Residential,11-100,Google Street View,47.6321811,-122.3653752
Medium Risk,Queen Anne,621 W McGraw St,1926,1,No visible retrofit,Commercial,11-100,Field Visit,47.6394133,-122.3658761
Medium Risk,Queen Anne,7 Harrison St,1908,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,47.6219298,-122.3563915
Medium Risk,Queen Anne,706 Taylor Ave N,1920,1,No visible retrofit,Commercial,11-100,Google Street View,35.870729,-118.638972
Medium Risk,Queen Anne,710 Taylor Ave N,1920,1,No visible retrofit,Commercial,10-Jan,Photos from Previous Surveys,37.5979157,-122.3988747
Medium Risk,Queen Anne,721 9th Ave N,1922,1,Visible retrofit,Commercial,101+,Google Street View,32.7128043,-117.1563003
Medium Risk,Queen Anne,731 Westlake Ave N,1921,2,No visible retrofit,Commercial,101+,Field Visit,47.6263027,-122.3394153
Critical Risk,Queen Anne,411 Boston St,1922,1,Substantial Alteration,Schools,101+,Google Street View,34.0859636,-117.7205265
Medium Risk,Queen Anne,822 Queen Anne Ave N,1915,4,No visible retrofit,Residential,11-100,Permit Drawing Review,47.6269116,-122.3563487
Medium Risk,Queen Anne,823 5th Ave N,1900,1,No visible retrofit,Commercial,11-100,Google Street View,37.5675783,-122.3162656
Medium Risk,Queen Anne,900 Broad St,1941,1,No visible retrofit,Commercial,11-100,Google Street View,40.732427,-74.173406
Medium Risk,Queen Anne,900 Queen Anne Ave N,1929,5,No visible retrofit,Residential,11-100,Field Visit,47.627491,-122.356311
Medium Risk,Queen Anne,916 Queen Anne Ave N,1909,5,Substantial Alteration,Residential,11-100,Permit Drawing Review,47.6278344,-122.356317
Medium Risk,Queen Anne,371 Ward St,1912,1,No visible retrofit,Government,10-Jan,Sandborn Insurance Maps,39.5168286,-121.4864377
Critical Risk,Rainier Beach,4525 S Cloverdale St,1924,2,Permitted Retrofit,Schools,101+,Photos (Rosettes) from Previous Surveys,47.524971,-122.274738
Critical Risk,Rainier Beach,9709 60th Ave S,1909,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,47.5147059,-122.258828
Medium Risk,Rainier Beach,9220 Renton Ave S,1926,2,No visible retrofit,Other Mixed Uses,11-100,Permit Drawing Review,47.5207282,-122.2732952
Medium Risk,Ravenna/Bryant,2111 NE 47th St,1921,3,No visible retrofit,Residential,11-100,Permit Drawing Review,47.6628244,-122.3049965
Medium Risk,Ravenna/Bryant,2611 NE 55th St,1923,1,No visible retrofit,Commercial,10-Jan,Google Street View,47.6683037,-122.2988753
Medium Risk,Ravenna/Bryant,2725 NE 55th St,1926,1,No visible retrofit,Commercial,10-Jan,Google Street View,47.6684228,-122.29748
Medium Risk,Ravenna/Bryant,2814 NE 55th St,1925,1,No visible retrofit,Residential,10-Jan,Google Street View,47.6686928,-122.2965496
Medium Risk,Ravenna/Bryant,2818 NE 55th St,1924,1,No visible retrofit,Commercial,11-100,Google Street View,47.6686956,-122.2964047
Medium Risk,Ravenna/Bryant,2906 NE 55th St,1930,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,47.6687189,-122.2957485
Medium Risk,Ravenna/Bryant,3412 NE 65th St,1945,1,No visible retrofit,Public Assembly,11-100,White Card Permit Records,47.6759182,-122.2908817
Medium Risk,Ravenna/Bryant,4600 22nd Ave NE,1927,3,No visible retrofit,Residential,11-100,White Card Permit Records,47.6620064,-122.3040826
High Risk,Ravenna/Bryant,5801 Sand Point Way NE,0,3,No visible retrofit,Public Assembly,101+,Permit Drawing Review,47.6710695,-122.2706703
High Risk,Ravenna/Bryant,6215 33rd Ave NE,1930,2,No visible retrofit,Public Assembly,101+,Field Visit,47.6744865,-122.292522
Critical Risk,Ravenna/Bryant,6220 32nd Ave NE,1949,1,Permitted Retrofit,Schools,101+,Permit Drawing Review,47.6748938,-122.2927737
Medium Risk,Ravenna/Bryant,6545 Ravenna Ave NE,1911,4,Permitted Retrofit,Commercial/Residential,11-100,Google Street View,47.677265,-122.3044779
Medium Risk,Ravenna/Bryant,8000 Lake City Way NE,1941,1,No visible retrofit,Commercial,10-Jan,Photos from Previous Surveys,47.6867989,-122.3127786
Medium Risk,Ravenna/Bryant,8014 15th Ave NE,1926,1,No visible retrofit,Commercial,101+,Photos from Previous Surveys,47.6871334,-122.3119617
High Risk,Ravenna/Bryant,8208 18th Ave NE,1946,2,Permitted Retrofit,Public Assembly,101+,Google Street View,47.6889958,-122.3086395
Medium Risk,Ravenna/Bryant,7200 12th Ave NE,1930,1,No visible retrofit,Government,10-Jan,Photos from Previous Surveys,47.681601,-122.313597
Critical Risk,Roxhill/Westwood,7740 34th Ave SW,1926,2,Substantial Alteration,Schools,101+,Permit Drawing Review,47.5327784,-122.3747386
Medium Risk,Roxhill/Westwood,9229 16th Ave SW,0,1,No visible retrofit,Commercial,10-Jan,Google Street View,50.9712447,-114.1010642
Medium Risk,Roxhill/Westwood,9434 Delridge Way SW,1926,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,47.5182951,-122.3555382
Medium Risk,Roxhill/Westwood,9643 20th Ave SW,1949,2,No visible retrofit,Residential,11-100,Google Street View,47.516773,-122.359592
High Risk,Seward Park,6701 51st Ave S,1927,2,No visible retrofit,Public Assembly,101+,Field Visit,36.778261,-119.4179324
Medium Risk,Seward Park,7621 Rainier Ave S,1920,1,No visible retrofit,Residential,11-100,Photos from Previous Surveys,47.533947,-122.2702639
Medium Risk,South Beacon Hill/New Holly,7762 Beacon Ave S,1935,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,47.5326576,-122.2884074
Medium Risk,South Park,8201 10th Ave S,1919,1,Permitted Retrofit,Government,101+,Google Street View,47.5296153,-122.320528
Critical Risk,South Park,723 S Concord St,1909,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,47.5235924,-122.3244432
Medium Risk,South Park,8520 14th Ave S,1936,1,No visible retrofit,Commercial,10-Jan,Sandborn Insurance Maps,47.5267399,-122.314564
Medium Risk,South Park,8601 8th Ave S,1905,2,No visible retrofit,Commercial/Residential,10-Jan,Google Street View,47.5263204,-122.3231856
Medium Risk,Sunset Hill/Loyal Heights,2406 NW 54th St,1930,1,No visible retrofit,Office,11-100,Google Street View,47.6681923,-122.3883202
Medium Risk,Sunset Hill/Loyal Heights,8498 Seaview Pl NW,1930,1,Permitted Retrofit,Public Assembly,11-100,Field Visit,47.6917517,-122.4030912
High Risk,Sunset Hill/Loyal Heights,3014 NW 67th St,1907,2,No visible retrofit,Public Assembly,101+,Google Street View,47.6776805,-122.396193
Medium Risk,Sunset Hill/Loyal Heights,5300 26th Ave NW,1910,1,No visible retrofit,Industrial,10-Jan,Field Visit,47.6849633,-122.3897592
Medium Risk,Sunset Hill/Loyal Heights,5903 24th Ave NW,1913,1,No visible retrofit,Commercial,11-100,Google Street View,47.6718295,-122.3878952
Medium Risk,Sunset Hill/Loyal Heights,6301 24th Ave NW,1928,1,No visible retrofit,Commercial,11-100,Google Street View,47.6746884,-122.3878829
Medium Risk,Univ Dist,1115 NE 43rd St,1929,3,No visible retrofit,Residential,11-100,Google Street View,47.6596386,-122.3159201
